n=2000000 primes=148933
         3846 function calls (3766 primitive calls) in 0.479 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.279    0.279    0.453    0.453 assignment3.py:42(sieve_like)
        1    0.174    0.174    0.174    0.174 assignment3.py:52(<listcomp>)
        1    0.013    0.013    0.013    0.013 :0(setprofile)
        1    0.004    0.004    0.466    0.466 assignment3.py:1(<module>)
        6    0.001    0.000    0.001    0.000 :0(loads)
    40/38    0.000    0.000    0.001    0.000 :0(__build_class__)
        2    0.000    0.000    0.000    0.000 :0(create_dynamic)
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      128    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       64    0.000    0.000    0.000    0.000 :0(stat)
     12/4    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
        6    0.000    0.000    0.000    0.000 :0(read)
       24    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
      6/5    0.000    0.000    0.000    0.000 _parser.py:507(_parse)
       10    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
      268    0.000    0.000    0.000    0.000 :0(rstrip)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      197    0.000    0.000    0.000    0.000 :0(isinstance)
      201    0.000    0.000    0.000    0.000 :0(append)
        4    0.000    0.000    0.000    0.000 :0(__new__)
       76    0.000    0.000    0.000    0.000 :0(getattr)
     10/3    0.000    0.000    0.006    0.002 <frozen importlib._bootstrap>:1167(_find_and_load)
       67    0.000    0.000    0.000    0.000 _parser.py:162(__getitem__)
      147    0.000    0.000    0.000    0.000 :0(join)
        3    0.000    0.000    0.001    0.000 gettext.py:467(find)
      5/4    0.000    0.000    0.001    0.000 _parser.py:447(_parse_sub)
  156/144    0.000    0.000    0.000    0.000 :0(len)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        6    0.000    0.000    0.000    0.000 :0(open_code)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
     10/3    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap>:666(_load_unlocked)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
        6    0.000    0.000    0.000    0.000 gettext.py:216(_expand_lang)
        2    0.000    0.000    0.000    0.000 :0(exec_dynamic)
        1    0.000    0.000    0.000    0.000 __init__.py:348(namedtuple)
        8    0.000    0.000    0.001    0.000 __init__.py:272(_compile)
        1    0.000    0.000    0.000    0.000 :0(eval)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     13/5    0.000    0.000    0.000    0.000 _parser.py:172(getwidth)
       84    0.000    0.000    0.000    0.000 :0(startswith)
       37    0.000    0.000    0.000    0.000 argparse.py:1395(register)
      7/1    0.000    0.000    0.466    0.466 :0(exec)
       82    0.000    0.000    0.000    0.000 :0(endswith)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        3    0.000    0.000    0.001    0.000 argparse.py:1342(__init__)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
     10/3    0.000    0.000    0.006    0.002 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1032(__exit__)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1028(__enter__)
        2    0.000    0.000    0.005    0.003 argparse.py:1424(add_argument)
       59    0.000    0.000    0.000    0.000 :0(hasattr)
       26    0.000    0.000    0.000    0.000 :0(__exit__)
       67    0.000    0.000    0.000    0.000 :0(get)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
        4    0.000    0.000    0.001    0.000 _compiler.py:571(_code)
       10    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
        4    0.000    0.000    0.001    0.000 _compiler.py:738(compile)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
